#CODE;UKRAINIAN;x
EVTDESC_ZE_13621;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in one of my experienced areas, the art of war. This is my chance to make an effort for the sake of [From.GetHerHis] education but what can I offer?;x
EVTDESC_ZE_13622;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in one of my experienced areas, stewardship. This is my chance to make an effort for the sake of [From.GetHerHis] education but what can I offer?;x
EVTDESC_ZE_13623;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in one of my experienced areas, intrigue. This is my chance to make an effort for the sake of [From.GetHerHis] education but what can I offer?;x
EVTDESC_ZE_13624;As [From.GetSheHe] is growing older, I can see that [From.GetFirstName] could use some guidance in one of my experienced areas, learning. This is my chance to make an effort for the sake of [From.GetHerHis] education but what can I offer?;x
EVTDESC_ZE_22800;It is clear to you that [Root.Liege.GetTitledFirstName]'s commanders are nothing more than rabble - all brawn and no finesse. You, on the other hand, are an experienced tactician and a great teacher to boot! Perhaps you should offer to train [Root.Liege.GetFirstName]'s commanders in the hopes of gaining [Root.Liege.GetHerHis] favor?;x
EVTOPTA_ZE_22800;I shall send [Root.Liege.GetHerHim] a letter offering my services!;x
EVTOPTB_ZE_22800;It is not worth it.;x
EVTDESC_ZE_22801;To my liege, the [GetFromRootCompliment] [Root.GetFirstName],\nIt has not escaped me that several of your commanders lack formal training in military tactics. I would like to offer my services by training [commander_one.GetFirstName], [commander_two.GetFirstName] and [commander_three.GetFirstName] in the use of advanced battlefield stratagems!\n\nRegards,\n[From.GetTitledName];x
EVTOPTA_ZE_22801;A most generous offer, for this I will owe [From.GetHerHim]!;x
EVTOPTB_ZE_22801;No! [From.GetSheHeCap] is just trying to gain leverage on me!;x
EVTDESC_ZE_22802;To my loyal subject, the [GetFromRootCompliment] [Root.GetFirstName],\n\nYour offer is most generous! I graciously accept your offer and will remember this good deed in the future.\n\nRegards,\n[From.GetTitledName];x
EVTOPTA_ZE_22802;Excellent! Now I have leverage on [From.GetHerHim]...;x
EVTDESC_ZE_22803;To my subject, the [GetFromRootInsult] [Root.GetFirstName],\n\nYour offer is obviously nothing but thinly-veiled deception. That you would even suggest that my commanders are anything but the very best is an insult!\n\nRegards,\n[From.GetTitledName];x
EVTOPTA_ZE_22803;This was not what I meant to happen!;x
EVTOPTA_ZE_13620;Honesty, if anything.;x
EVTOPTB_ZE_13620;Being sociable is key.;x
EVTOPTA_ZE_13621;Show bravery to inspire others.;x
EVTOPTB_ZE_13621;I'll have to toughen [From.GetHerHim] up...;x
EVTOPTA_ZE_13622;Treat all as equals.;x
EVTOPTB_ZE_13622;Self-restraint, a life of moderation.;x
EVTOPTA_ZE_13623;Knowledge is power others don't need.;x
EVTOPTB_ZE_13623;Others may try to trick you.;x
EVTOPTA_ZE_13624;Knowledge is power, always learn more.;x
EVTOPTB_ZE_13624;Don't be distracted by lust.;x
EVTOPTA_ZE_13625;[From.GetSheHeCap] deserves greatness. Go get it!;x
EVTOPTB_ZE_13625;Be thorough, make others count on you.;x
EVTOPTC_ZE_13625;Make your move at the right time.;x
obj_groom_an_heir_title;Groom an Heir;x
obj_groom_an_heir_desc;[This.GetTitledFirstName] wants to have a male child and see him reach adulthood.\n\nIf [This.GetFirstName]'s succession law is §YAbsolute Cognatic§! raising either a male child or a female child will fulfill the ambition.\n\nWhile this ambition is active, §YFertility§! is increased by §Y20%§!.;x
opinion_boost_child;Increases the opinion of §Y[Root.GetFullName]'s§! adult child towards [Root.GetHerHim] by §G15§! for §Y240 months§!!\n;x
introduce_heir;Introduce Heir to the Realm;x
introduce_heir_named;Introduce Heir to the Realm;x
introduce_heir_desc;As your heir is soon of age you can choose to formally introduce him or her to the vassals of the realm. This can help build trust that will certainly prove useful for the child in the future.;x
introduce_heir_custom_tooltip;Send out the invitations.;x
EVTDESC_ZE_22900;You have invited your vassals to partake in a formal introduction of your heir, [introduced_heir.GetTitledFirstName]. [introduced_heir.GetSheHeCap] will have to exchange many pleasantries and act in a very formal way, something that might be tiresome for someone as young as [introduced_heir.GetHerHim]. However, you have full confidence that [introduced_heir.GetSheHe] will not disappoint you!;x
EVTOPTA_ZE_22900;They will be here soon!;x
EVTDESC_ZE_22901;The last of your vassals have left and [introduced_heir.GetTitledFirstName] looks relieved. [introduced_heir.GetSheHeCap] is obviously exhausted from all the formalities, but having been introduced like this will hopefully serve [introduced_heir.GetHerHim] well in the future!;x
EVTOPTA_ZE_22901;I've done my best to groom [introduced_heir.GetHerHim] into a worthy heir.;x
groomed_to_perfection;Groomed to Perfection;x
EVTDESC_ZE_22902;[vassal_teacher.GetBestName] is a renowned godly and learned vassal of yours. After having introduced [vassal_teacher.GetHerselfHimself] to [introduced_heir.GetFirstName], [vassal_teacher.GetFirstName] approaches you with an offer. [vassal_teacher.GetFirstName] is willing to spend some time teaching [introduced_heir.GetFirstName] some of the more intricate parts of [Root.Religion.GetScriptureName] in exchange for your favor.;x
EVTOPTA_ZE_22902;Anything for [introduced_heir.GetTitledFirstName]!;x
EVTOPTB_ZE_22902;There is no need for that.;x
EVTDESC_ZE_22903;As [introduced_heir.GetFirstName] introduces [introduced_heir.GetHerselfHimself] to [compliment_vassal.GetBestName] [introduced_heir.GetSheHe] not only presents [introduced_heir.GetHerselfHimself] with grace, but also manages to impress [compliment_vassal.GetFirstName] by skillfully complimenting [compliment_vassal.GetHerHim]!;x
EVTOPTA_ZE_22903;I taught [introduced_heir.GetHerHim] everything [introduced_heir.GetSheHe] knows!;x
EVTDESC_ZE_22904;As [introduced_heir.GetFirstName] introduces [introduced_heir.GetHerselfHimself] to [insult_vassal.GetBestName] [introduced_heir.GetSheHe] not only accidently spills a beverage on [insult_vassal.GetFirstName]'s shoes, but also manages to insult ALL of [insult_vassal.GetFirstName]'s ancestors!;x
EVTOPTA_ZE_22904;That kid is a disaster!;x
EVTDESC_ZE_22905;It seems as if [introduced_heir.GetFirstName] has started getting along incredibly well with the child of one of the visiting vassals! Indeed, apparently [introduced_heir.GetFirstName] and [befriended_child.GetBestName] are becoming fast friends.;x
EVTOPTA_ZE_22905;How lovely!;x
EVTDESC_ZE_22906;While having a pleasant conversation you are suddenly interrupted by an infernal ruckus, upon further investigation it seems as if [introduced_heir.GetFirstName] has gotten into a fight with the child of one of the visiting vassals! You tear the two children apart, but it is obvious that [introduced_heir.GetFirstName] and [rival_child.GetBestName] will not ever be friends after this encounter...;x
EVTOPTA_ZE_22906;I wonder who started it?;x
EVTDESC_ZE_22907;As the hours go by you notice [introduced_heir.GetFirstName]'s mood starting to drop. [introduced_heir.GetSheHeCap] is obviously trying [introduced_heir.GetHerHis] best to impress the visiting vassals, but it is evidently tearing at [introduced_heir.GetHerHim]. Hopefully this slump in [introduced_heir.GetFirstName]'s mood will pass soon.;x
EVTOPTA_ZE_22907;Now, there are still more vassals to greet...;x
EVTDESC_ZE_22908;[vassal_teacher_martial.GetBestName] is a renowned fighter and tactician. After having introduced [vassal_teacher_martial.GetHerselfHimself] to [introduced_heir.GetFirstName], [vassal_teacher_martial.GetFirstName] approaches you with an offer. [vassal_teacher_martial.GetFirstName] is willing to spend some time teaching [introduced_heir.GetFirstName] how to fight in exchange for your favor.;x
EVTOPTA_ZE_22908;That would be useful, I will bestow my favor upon you!;x
EVTOPTB_ZE_22908;Learn how to fight? There is no need for such nonsense!;x
EVTDESC_ZE_22909;It is evidently clear to all of the visiting vassals that [introduced_heir.GetTitledFirstName] has been infatuated with [husband_target.GetTitledFirstName]'s wife, [wife_target.GetTitledFirstName]. While harmless, [introduced_heir.GetFirstName] is still following her around like a dog. [husband_target.GetFirstName] does not seem to be amused.;x
EVTOPTA_ZE_22909;There is no time for this nonsense!;x
COUNCIL_VOTE_WAR_ACCEPT_SETUP;Council voting outcome for war;x
STOP_ENFORCE_PEACE_INTERACTION_ACCEPT_SETUP;Request to stop Enforce Peace accepted;x
STOP_ENFORCE_PEACE_INTERACTION_DECLINE_SETUP;Request to stop Enforce Peace denied;x
ASK_REALM_PEACE_INTERACTION_ACCEPT_SETUP;Request for Enforce Peace accepted;x
ASK_COUNCIL_POSITION_INTERACTION_ACCEPT_SETUP;Accepting Council Position request;x
FORCE_JOIN_FACTION_INTERACTION_ACCEPT_SETUP;Forced into joining faction;x
ASSIGN_VOTER_TITLE_INTERACTION_DECLINE_SETUP;Councillor Declined;x
succession_voting_power;Council Authority;x
succession_voting_power_desc;The Council's authority in regards to the right of holding office and voting for succession.;x
succession_voting_power_0_desc;The ruler has full authority over choice of succession law and can fire council members at will.\n;x
succession_voting_power_1_desc;The Council's authority reaches its peak, with the ruler unable to fire council members at will and unable to completely control the succession of the realm.\n;x
succession_voting_power_0_option;Limited;x
succession_voting_power_1_option;Full;x
succession_voting_power_0;Limited Council Authority;x
succession_voting_power_1;Full Council Authority;x
#faction_powerful_vassal_takeover_desc;Members seek to remove §Y[From.Liege.GetBestName]§! from power and significantly increase the Council's power by instituting the §YFull Council Authority§! and §YElective Monarchy§! laws. Once this faction is sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;x
#EVTDESC8221;Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to give up [From.GetHerHis] title for the good of the realm. We have chosen [new_title_holder.GetFullName] as our new ruler, and Elective Monarchy has been instituted in the realm. Your valuable support in this matter will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];x
#EVTDESC8222;Under pressure from a powerful Faction, §Y[From.GetTitledName]§! has agreed to abdicate the throne and institute full council authority and Elective Monarchy. Hail the new ruler, §Y[new_title_holder.GetFullName]§!!;x
succession_voting_power_1_effect_tooltip;§YPowerful Vassals§! cannot be fired from the §YCouncil§!\nEnables the §YElective Monarchy§! law for Indian and Muslim religions\nCan no longer change succession if §YElective Monarchy§! is instituted;x
succession_voting_power_0_effect_tooltip;§YPowerful Vassals§! can be fired from the §YCouncil§!\nDisables the §YElective Monarchy§! law for Indian and Muslim religions\nCan now change succession if §YElective Monarchy§! is instituted;x
#RENEGOTIATED_NAP;Renegotiated Non-Aggression Pact;x
MATRILINEAL_MARRIAGE_CONCLAVE;Both parties must allow matrilineal marriage;x
STEAM_SUBSCRIBER_AGREEMENT;Agree to Steam Subscriber Agreement;x
VICE_ROYALTY_CHANGE_PRIMARY_FORBIDDEN;Vice Royalties are not allowed to change primary title;x
CONFIRM_ABANDON_GAME_TITLE;Abandon Game;x
CONFIRM_ABANDON_GAME_DESC;Are you sure you want to abandon the game?;x
SM_CONTEXTMUSIC;Context Sensitive Music;x
MINIMAP_NEXTSONG;Next Song;x
MINIMAP_NEXTSONG_DELAYED;Now playing: $SONG|Y$;x
PEACE_ENFORCE_COUNCIL_DISCONTENT;Council must be Content;x
COUNCIL_DISCONTENT_EFFECT;Councillors cannot join or start §YFactions§! while the council is §YContent§! and the §YWar Declaration§! law is set to §YCouncil§! (Nomadic and Tribal councillors can always join and start factions).\nThe liege cannot §YEnforce Realm Peace§! while the council is §YDiscontent§!.;x
alert_council_discontent_delayed;Your Council has been Discontent for $DISCONTENT_DURATION|Y$ month(s), and will be until §Y$DISCONTENT_END_DATE$§!. This means that if Councillors were prohibited by law from forming and joining factions, they may now do so. This could potentially destabilize the realm.;x
alert_liege_council_discontent_delayed;Your Liege's Council has been Discontent for $DISCONTENT_DURATION$ month(s), and will be until §Y$DISCONTENT_END_DATE$§!. This means that if Councillors were prohibited by law from forming and joining Factions, they may now do so. This could potentially destabilize the realm.;x
coalitions_title;$GROUP$ Defensive Pact against $TARGET$;x
coalition_group;§YMembers:§!$MEMBERS$;x
gov_bad_pope;Papacy;x
gov_pope;[Religion.GetName]Papacy;x
gov_patriarchate;[Religion.GetName] Patriarchate;x
gov_theocracy;[Religion.GetName] Theocracy;x
gov_republic;Republic;x
gov_elective_muslim_aristocratic_monarchy;Elective Aristocratic [PrimaryTitle.GetTier];x
gov_elective_muslim_despotic_monarchy;Elective Despotic [PrimaryTitle.GetTier];x
gov_elective_muslim_absolute_monarchy;Elective Absolute [PrimaryTitle.GetTier];x
gov_elective_muslim_absolute_autocracy;Elective Absolute Imperial Autocracy;x
gov_elective_muslim_despotic_autocracy;Elective Despotic Imperial Autocracy;x
gov_elective_muslim_aristocratic_autocracy;Elective Aristocratic Imperial Autocracy;x
INTERACTION_COALITION_RANGE;Is close enough to threaten us;x
GAME_SETUP_COALITIONS_TARGET_ICON;Is the target of one or more §YDefensive Pacts§! with a total of $NUM_MEMBERS|Y$ members.;x
GAME_SETUP_COALITIONS_MEMBER_ICON;Is in a §YDefensive Pact§! against $TARGET|Y$. A total of $NUM_MEMBERS|Y$ characters have joined §YDefensive Pacts§! against the same target.;x
alert_high_infamy_delayed;Effects of §YThreat§!:\n\n- With over $COALITION_INFAMY_LIMIT|%Y0$ §YThreat§! other realms can form §YDefensive Pacts§! to protect themselves from you. Each religious group has their own separate §YDefensive Pact§! and will only defend members belonging to that same §YDefensive Pact§!.\n\n- With over $OTHER_COALITION_JOIN_INFAMY|%Y0$ §YThreat§! all §YDefensive Pacts§! of other religious groups band together if you attack one of them.\n\n- With over $EVERY_COALITION_EXCEPT_HEADS_JOIN_INFAMY|%Y0$ §YThreat§! all §YDefensive Pacts§! including that of your own religious group will band together if you attack one of them.\n\n- With over $EVERY_COALITION_JOIN_INFAMY|%Y0$ §YThreat§! you are considered threatening enough that even your own religious head and holy orders from your religious group will defend other §YDefensive Pacts§! from you.\n\n- As your §YThreat§! increases, larger and more distant realms are allowed to join the §YDefensive Pacts§! opposing you.\n\n- As your §YThreat§! decreases, larger or more distant realms are forced to leave the §YDefensive Pacts§! opposing you.\n\n--------------\n§YThreat§! will decline slowly over time but you can manually lower it by granting independence to land not part of your De Jure realm.;x
INTERACTION_COALITION_REQUIRES_COUNTY_COMPARE;§Y[Actor.GetTitledFirstName]§! can be at most $RATIO|Y%0$ the size of §Y[Recipient.GetTitledFirstName]§!;x
COUNCIL_ELECTIVE;Council Elective;x
WANTS_PARDON;I don't want to be imprisoned;x
COUNCIL_ELECTIVE_DESC;Council Elective is a special form of succession that can only be enabled by enacting certain laws. The ruler and each council member can nominate a successor from among the direct vassals and legitimate children and siblings of the ruler. All council members have a vote, regardless if they are landed or not. In this form of elective succession there are no elector titles, instead the ruler and the council members each get one vote. Council Elective Succession is very popular with the vassals.;x
IS_POWERFUL_VASSAL_TRIGGER;$CHAR$ is a powerful vassal.\n;x
IS_NOT_POWERFUL_VASSAL_TRIGGER;$CHAR$ is not a powerful vassal.\n;x
CANNOT_JOIN_FACTION_COUNCIL_CONTENT;§RAs you are on the Council and the Council gets to vote on War Declarations, you can only create or join factions while the Council is Discontent.§!;x
INTERACTION_REQUIRES_NOT_IS_IN_PRISON;§Y[Recipient.GetTitledFirstName]§! is not Imprisoned;x
INTERACTION_REQUIRES_RECIPIENT_NOT_INCAPABLE;§Y[Recipient.GetTitledFirstName]§! Is not incapable;x
INSULT_SCARECROW;scarecrow;x # male female child - (bad_priest)
INSULT_LOVER_OF_HEATHENS;lover of heathens;x # male female - (sympathy_)
INSULT_UNPRINCIPLED;unprincipled;x # male female - (sympathy_)
INSULT_STUPID;stupid;x # child - 
INSULT_LAZY;lazy;x # child - decadent slothful
INSULT_FARTMASTER;fartmaster;x # child - decadent
INSULT_JUNGLE_SNAKE;jungle snake;x # male female - jungle_terrain_leader
INSULT_SNEAKING;sneaking;x # male female - in_hiding
COMPL_ARCHITECT;architect;x # male female - architect
INSULT_SCHEMING;scheming;x # male female - (schemer)
INSULT_BLABBERER;blabberer;x # male female - socializer
INSULT_SILLY;silly;x # child - eunuch socializer
INSULT_INSTIGATOR;instigator;x # male female - schemer
INSULT_BOOKWORM;bookworm;x # male female - scholar theologian physician
INSULT_SQUINTEYED;squint-eyed;x # male female - scholar theologian physician
INSULT_UPSTART;upstart;x # male female - adventurer
INSULT_PEABRAIN;peabrain;x # child - adventurer heresiarch imbecile homosexual
INSULT_HAYBRAIN;haybrain;x # child - hedonist
INSULT_CRUMMY;crummy;x # child - adventurer (bad_priest)
COMPL_CONQUEROR;conqueror;x # male female - adventurer
COMPL_AUDACIOUS;audacious;x # male female - adventurer
INSULT_GRABBING;grabbing;x # male female - adventurer
INSULT_BRAT;brat;x # male female - haughty
INSULT_ARROGANT;arrogant;x # male female - haughty
INSULT_GROUCHY;grouchy;x # child - paranoid haughty
INSULT_CLINGY;clingy;x # male female - affectionate
INSULT_FLOPPY;floppy;x # child - affectionate
INSULT_TICK;tick;x # male female - affectionate
INSULT_CREEPY;creepy;x # male female timid brooding \ lustful child
INSULT_RUFFIAN;ruffian;x # male female - rowdy
INSULT_MONGREL;mongrel;x #UNUSED
INSULT_CRAZY;crazy;x # child - lunatic homosexual hedonist berserker rowdy
INSULT_WILD;wild;x # male female - rowdy
COMPL_CLEVER;clever;x # male female child - genius...
COMPL_LOVELY;lovely;x # male female - playful
INSULT_SCURRYING;scurrying;x #UNUSED
INSULT_WORM;worm;x #male female - idolizer
INSULT_DESERT_RAT;desert rat;x #male female - desert_terrain_leader
INSULT_FANATIC;fanatic;x # male female - (religious warriors)
INSULT_TROLL;troll;x # inbred lustful cruel berserker haughty child \ ugly female
INSULT_UGLY;ugly;x # child - syphilitic leper ugly inbred
INSULT_TWOFACED;two-faced;x # male female - (diplomacy)
INSULT_MISERLY;miserly;x # male female - (stewardship)
COMPL_ELOQUENT;eloquent;x # male female - (diplomacy)
COMPL_NICE;nice;x # shy gregarious just child (diplomacy) \ lustful female
COMPL_THRIFTY;thrifty;x # male female - (stewardship)
INSULT_GROVELING;groveling;x # male female - humble
INSULT_DEVIL;devil;x # child - cynical mystic excommunicated possessed
INSULT_GRUMBLER;grumbler;x # male female - depressed
INSULT_SYPHILITIC;syphilitic;x # male female - syphilitic
INSULT_DECAYING;decaying;x # male female - has_bubonic_plague
INSULT_SMELLY;smelly;x # male female child - has_typhus has_bubonic_plague
INSULT_RENEGADE;renegade;x # male female - excommunicated
INSULT_GODLESS;godless;x # male female - excommunicated mystic
COMPL_PRETTY;pretty;x # child - fair
COMPL_SMARTY;smarty;x # child - genius mystic scholar arbitrary
INSULT_FRIGID;frigid;x # female - celibate
INSULT_UNMANLY;unmanly;x # male - celibate
COMPL_VIRTUOUS;virtuous;x # male female - celibate
INSULT_TREEHUGGER;treehugger;x # male female - gardener
INSULT_WEIRD;weird;x # child - mystic
INSULT_DRIVELING;driveling;x # male female - (ecclesiastical)
COMPL_BLADEMASTER;blademaster;x # male - duelist
COMPL_CHAMPION;champion;x # female - duelist
COMPL_HUNTMASTER;huntmaster;x # male - hunter
INSULT_FLABBY;flabby;x # child - gluttonous
INSULT_MEANIE;meanie;x # child - wroth
INSULT_DONKEY;donkey;x # child - patient
INSULT_WICKED;wicked;x # child - impaler deceitful ambitious arbitrary cruel
COMPL_HERO;hero;x # child - gregarious
INSULT_SPINELESS;spineless;x # male female - content
INSULT_NASTY;nasty;x # child - zealous
EVTDESCHL1;[FromFrom.GetTitledName] has decided to abandon nomadic life and settle down in [FromFrom.PrimaryTitle.GetName] with [FromFrom.GetHerHis] followers, making it a new homeland for the [FromFrom.Culture.GetName] people.;x
FORM_NON_AGGRESSION_PACT_INTERACTION_TITLE;Offer Non-Aggression Pact;x
malcontent_desc;A Malcontent councillor is unhappy with the current state of affairs in the realm. They are a troublesome force on the council and will always oppose the will of the ruler unless they directly stand to gain power.;x
zealot_desc;A Zealot councillor will strive towards bringing religion to the forefront of the realm's political agenda. If religious war targets are available this councillor might oppose wars against other targets. The councillor will also be more inclined to accept hostile action against heathen and heretic characters.;x
robust;Brawny;x
feeble;Frail;x
robust_desc;This character is physically brawny.;x
feeble_desc;This character is physically frail.;x
weak_desc;This character has been cursed with a weak physique.;x
shrewd;Shrewd;x
shrewd_desc;This character has developed a sharp and astute mind.;x
dull;Dull;x
dull_desc;This character isn't the sharpest knife in the drawer.;x
suicide;Suicide;x
