#CODE;RUSSIAN;x
INSULT_PIGFACE;хрюшка;x #child
EVTOPTA_RIP_21124;Я победил Смерть, величайшего врага из всех.;x
EVTOPTA_RIP_21124_TOOLTIP;Вы успешно прошли испытание и обрели бессмертие.\n;x
EVTNAME_RIP_21125;Bеский аргумент;x
EVTDSC_RIP_21125;Как только человек закончил говорить, вы согласились, что проблему надо как следует обсудить, прежде чем принять решение. Вы назначаете этого человека преставителем своих воинов и приглашаете его к себе в палатку на ужин. Когда вы остались наедине, вы выдвинули предложение. Он поддерживает ваши притязания в обмен на увесистый кошель с монетами. Человек колебелется, но затем соглашается.\n\nЭтим же вечером вы отстаиваете свою позицию. Как только вы заканчиваете свою речь, вы с надеждой смотрите в сторону человека. То, что он сказал, было не тем, чего вы ожидали. Он разоблачил вашу попытку подкупа, тем самым разозлив остальных. Вы принялись бежать в сторону дерева, но озверевшая толпа настигла вас в мгновение ока.;x
EVTOPTA_RIP_21125;Нет, пожалуйста! НЕЕЕЕЕЕЕЕТ!!!;x
EVTOPTA_RIP_21125_TOOLTIP;Вы погибаете от рук своих компаньонов, тем самым провалив испытание, §Y[eternal_life_mystic.GetFirstName]§! покидает Ваш двор. ;x
EVTNAME_RIP_21126;И у доверия есть своя цена;x
EVTDSC_RIP_21126;Вы перебили подстрекателя. Вы ли [Root.GetManWoman], кому они присягли на верность? Вы ли их законный и честный сюзерен? В конце вашей речи на мгновение повисла полная тишина. Затем подстрекатель поклонился вам и согласился добыть яблоко для вас. Облегченно вздохнув, вы благодарите его. Все могло закончиться гораздо хуже!\n\nС беспокойством вы глядите снизу, как человек взбирается на дерево. Оно очень высокое, и не раз он оказывается на грани падения. Когда он наконец добирается до вершины дерева, вы кричите в ликовании, но ваша радость внезапно прерывается – с дерзким видом человек сам вонзает зубы в яблоко. Вы глядите на [eternal_life_mystic.GetFirstName] со страхом в глазах, но она всего лишь тоскливо качает головой. Всё кончено.;x
EVTOPTA_RIP_21126;А ну спускайся! Я тебе голову с плеч сниму, клянусь!;x
EVTOPTA_RIP_21126_TOOLTIP;Вы провалили испытание, §Y[eternal_life_mystic.GetFirstName]§! покидает Ваш двор.\n;x
EVTNAME_RIP_21501;Cерьёзная озабоченность;x
EVTDSC_RIP_21501_A;Однажды вечером после ужина [From.GetTitledFirstName] подходит к вам. [From.GetSheHeCap] начинает разговор о состоянии торговли в стране, но вы замечаете, что [From.GetSheHe] в расстроенных чувствах. Вы перебиваете [From.GetFirstName] и спрашиваете, зачем [From.GetSheHe] на самом деле говорит с вами. [From.GetFirstName] мягко берет вас за руку и, опустив глаза, говорит.\n\n- "По правде говоря, [GetFromVsFromFromRelation], мне неспокойно. Кто на самом деле эта [eternal_life_mystic.GetFirstName]? Можно ли ей доверять? Я боюсь, что она просто пользуется Вашими... последними тревогами."\n\n[From.GetSheHeCap] наконец поднимает глаза, встречаясь взглядом с вами: "Пожалуйста, [GetFromVsFromFromRelation], позволь мне узнать об этом больше.";x
EVTDSC_RIP_21501_B;Однажды вечером после ужина [From.GetTitledFirstName] подходит к вам. [From.GetSheHeCap] начинает разговор о состоянии торговли в стране, но вы замечаете, что [From.GetSheHe] в расстроенных чувствах. Вы перебиваете [From.GetFirstName] и спрашиваете, зачем [From.GetSheHe] на самом деле говорит с вами. [From.GetFirstName] кладет руки себе на колени и, опустив глаза, говорит.\n\n- "[Root.GetLordLady], по правде говоря - мне неспокойно. Кто на самом деле эта [eternal_life_mystic.GetFirstName]? Можно ли ей доверять? Я боюсь, что она просто пользуется Вашими... последними тревогами."\n\n[From.GetSheHeCap] наконец поднимает глаза, встречаясь взглядом с вами: "Пожалуйста, [Root.GetLordLady], позвольте мне узнать об этом больше.";x
EVTDSC_RIP_21501_C;Однажды вечером после ужина [From.GetTitledFirstName] подходит к вам. [From.GetSheHeCap] начинает разговор о состоянии торговли в стране, но вы замечаете, что [From.GetSheHe] в расстроенных чувствах. Вы перебиваете [From.GetFirstName] и спрашиваете, зачем [From.GetSheHe] на самом деле говорит с вами.\n\n- "[GetFromVsFromFromRelation], Вы мне очень дороги, и я боюсь за Вашу жизнь", - убедительно говорит [From.GetSheHe] и сжимает вашу руку. - "Кто эта нечестивая язычница, которую Вы пригласили ко двору? Сладки её обещания, но по мне, ей нельзя доверять. Пожалуйста, [GetFromVsFromFromRelation], позвольте мне разузнать, каковы на самом деле её мотивы. Пока не слишком поздно.";x
EVTDSC_RIP_21501_D;Однажды вечером после ужина [From.GetTitledFirstName] подходит к вам. [From.GetSheHeCap] начинает разговор о состоянии торговли в стране, но вы замечаете, что [From.GetSheHe] в расстроенных чувствах. Вы перебиваете [From.GetFirstName] и спрашиваете, зачем [From.GetSheHe] на самом деле говорит с вами.\n\n- "[Root.GetLordLady], я боюсь за Вашу жизнь", - убедительно говорит [From.GetSheHe]. - "Кто эта нечестивая язычница, которую Вы пригласили ко двору? Сладки её обещания, но по мне, ей нельзя доверять. Пожалуйста, [Root.GetLordLady], позвольте мне разузнать, каковы на самом деле её мотивы. Пока не слишком поздно.";x
EVTOPTA_RIP_21501;Чушь! По мне, ты принимаешь это слишком близко к сердцу.;x
EVTOPTA_RIP_21501_TOOLTIP;Игнорировать беспокойства, которые §Y[From.GetFirstName]§! высказывает Вам. ;x
EVTOPTB_RIP_21501;Лучше разузнать об этом побольше...;x
EVTOPTB_RIP_21501_TOOLTIP;Вы даёте добро, §Y[From.GetFirstName]§! расследует, что §Y[eternal_life_mystic.GetFirstName]§! из себя представляет. ;x
EVTOPTC_RIP_21501;Вы правы! И как у меня только хватило наивности доверять [eternal_life_mystic.GetFirstName]!;x
EVTNAME_RIP_21503;Tревожные вести;x
EVTDSC_RIP_21503_A;Поздней ночью кто-то стучится в дверь ваших покоев. Вы открываете ее и видите, что снаружи стоит [From.GetTitledFirstName]. [From.GetHerHisCap] нервно оглядывается и просит разрешения войти. Вы делаете приглашающий жест и предлагаете [From.GetHerHim] присесть\n\n"[eternal_life_mystic.GetFirstName] вызывает у меня беспокойство. Я приказал проследить за ней, и шпионы принесли мне тревожащие вести." Вы узнаете, что [eternal_life_mystic.GetFirstName] встречалась с каким-то очень подозрительным незнакомцем. [From.GetTitledFirstName] полагает, что она намерена причинить вам вред!;x
EVTDSC_RIP_21503_B;Поздней ночью кто-то стучится в дверь вашего кабинета. Вы открываете ее и видите, что снаружи стоит [From.GetTitledFirstName]. [From.GetSheHe] нервно оглядывается и просит разрешения войти. Вы делаете приглашающий жест и предлагаете [From.GetHerHim] присесть. "[eternal_life_mystic.GetFirstName] вызывает у меня беспокойство. Я приказал проследить за ней, и шпионы принесли мне тревожащие вести." Вы узнаете, что [eternal_life_mystic.GetFirstName] встречалась с каким-то очень подозрительным незнакомцем. [From.GetTitledFirstName] полагает, что она намерена причинить вам вред!;x
EVTOPTA_RIP_21503;Вы ошибаетесь. [eternal_life_mystic.GetFirstName] никогда не пойдет на это!;x
EVTOPTA_RIP_21503_TOOLTIP;Игнорировать результаты, которые Вам сообщает §Y[From.GetFirstName]§!. ;x
EVTOPTB_RIP_21503;Бросить эту двуличную ведьму в подземелье!;x
EVTOPTC_RIP_21503;Я с трудом в это верю... Мне нужно услышать правду лично.;x
EVTOPTC_RIP_21503_TOOLTIP;Выяснить, где находится §Y[eternal_life_mystic.GetFirstName]§! и спросить [eternal_life_mystic.GetHersHis] лично. ;x
EVTNAME_RIP_21505;Bсё хорошо;x
EVTDSC_RIP_21505_A;Поздней ночью кто-то стучится в дверь вашего кабинета. Вы открываете ее и видите, что снаружи стоит [From.GetTitledFirstName]. Вы делаете приглашающий жест и предлагаете [From.GetHerHim] присесть.\n\n[From.GetFirstName] нервно складывает руки в замок. "Прошу простить меня, [Root.GetLordLady]. Похоже, это была ошибка. После всех сведений, что мне удалось собрать, [eternal_life_mystic.GetFirstName] кажется самой осведомленной и надежной. Прошу, забудьте мои слова и простите, если они принесли вам проблемы.";x
EVTDSC_RIP_21505_B;Поздней ночью кто-то стучится в дверь вашего кабинета. Вы открываете ее и видите, что снаружи стоит [From.GetTitledFirstName]. Вы делаете приглашающий жест и предлагаете [From.GetHerHim] присесть.\n\n[From.GetFirstName] нервно складывает руки в замок. "Прошу простить меня, [Root.GetLordLady]. Похоже, это была ошибка. После всех сведений, что мне удалось собрать, [eternal_life_mystic.GetFirstName] кажется самой осведомленной и надежной. Прошу, забудьте мои слова и простите, если они принесли вам проблемы.";x
EVTOPTA_RIP_21505;Мне радостно слышать это.;x
EVTNAME_RIP_21507;Mистик и её ультиматум;x
EVTDSC_RIP_21507;Вы только постучали в дверь камеры [eternal_life_mystic.GetFirstName], как она распахнулась. Лицо мистика твёрже камня. "Пожалуйста, заходите, [Root.GetMasterMistress]," - холодно произносит она.\n\n"То, что Вы следуете за мной, не прошло мимо моего внимания," - говорит [eternal_life_mystic.GetFirstName], закрывая дверь. Вы пытаетесь ответить, но она прерывает вас. "Я не смогу обучить Вас, если у Вас не будет абсолютной веры в меня. Либо доверяйте мне, Вашей покорной слуге, либо отошлите меня прочь. Больше я ничего не могу сделать.";x
EVTOPTA_RIP_21507;Ты права, веди меня. Я должен сражаться.;x
EVTOPTB_RIP_21507;Ты слишком многого требуешь. Лучше оставь это.;x
EVTOPTB_RIP_21507_TOOLTIP;§Y[From.GetTitledFirstName]§! покинет Ваш двор, а Вы откажетесь от испытания. ;x
EVTOPTC_RIP_21507;Больше ничего не хочешь? Как насчёт подземелья!;x
EVTNAME_RIP_21509;Kамера пуста;x
EVTDSC_RIP_21509;Вы наслаждаетесь редким вечером в одиночестве, когда вдруг стук в дверь нарушает тишину. К вам пришёл капитан охраны. Он просит вас немедленно пойти с ним в подземелье. Это не то, чем бы вы хотели заняться воскресным вечером...\n\nОказавшись там, вы встречаете сильно обеспокоенного тюремщика. Он бесцельно бродит по коридору и делает жесты в направлении камеры, в которой должна находиться [eternal_life_mystic.GetFirstName]. Вы заглядываете в глазок. "Где она?!"\n\nКогда тюремщик наконец успокаивается, он сообщает, что мистик исчезла из своей камеры в какой-то момент времени вечером. Он кажется... напуганным. Видимо, он никогда не испытывал и не слышал ни о чём подобном...;x
EVTOPTA_RIP_21509;Ночью я буду спать с одним открытым глазом...;x
EVTDSC_RIP_21013_SPIRITUAL;[Root.GetLordSpiritualName] [From.GetFirstName] отвел[From.GetEndA] Вас в св[From.GetMyChamberACC] и неуверенным тоном начал[From.GetEndA] свой доклад: "Понимаете, [Root.PrimaryTitle.GetFOA], ради блага страны, нам пришлось пойти вразрез с истинным учением в наших изысканиях. Но мы нашли ту самую, кто сможет помочь с воспросом вечной жизни. Она прибыла из далёких восточных земель, чтобы увидеть Вас...".\nВы спросили, кто же эта загадочная женщина, и как она сможет помочь, но [From.GetSheHe] уклони[From.GetLasLsya] от ответа, предложив пригласить её ко двору.;x
EVTDSC_RIP_21019_LEARNING_A;Когда Вам сказали "мистик", Вы представляли себе кого-угодно, но только не ребёнка.\nМаленькая девочка, сказала что её зовут [From.GetFirstName], и она не похожа на других детей. Её манеры и речь дают понять, что она весьма опытна и знает больше любого из Ваших советников. Она рассказала Вам истории о далёких землях и древних временах, наполненные символами и скрытым смыслом. Описания событий столь детальны и красочны, словно она сама участвовала в них. Она сказала, что готова поделиться знаниями, если Вы признаете в ней своего учителя.;x
EVTDSC_RIP_21019_LEARNING_B;Когда Вам сказали "мистик", Вы представляли себе кого-угодно, но только не ребёнка. Поначалу Вы чуть не рассмеялись - маленькая девочка? Да, что она может знать? Но спустя минуты, Вы поняли, что эта малявка по имени [From.GetFirstName] вовсе не так проста.\n Она рассказала Вам истории о далёких землях и древних временах, наполненные символами и скрытым смыслом. Описания событий столь детальны и красочны, словно она сама участвовала в них. Она сказала, что готова поделиться знаниями, если Вы признаете в ней своего учителя.;x
EVTNAME_RIP_21400;Грехопадение;x
EVTDSC_RIP_21400_A;[From.GetFirstName] и вы идете бок о бок через столицу, в то время как она терпеливо объясняет принципы реинкарнации и бессмертия. "[Root.GetFirstName], мой друг. Помни, что карма создаётся не только когда ты действуешь. Всё, что ты думаешь, говоришь, чему служишь причиной - тоже карма. В то время как добрые дела дают сладкие плоды, пунья, недоброжелательность приносит испорченные плоды, паап."\n\nВаша прогулка приводит вас к захудалому переулку, где человек в рваной одежде спит в дверях. По мере приближения к нему, вонь от алкоголя и рвоты становится невыносимой. [From.GetFirstName] говорит вам, что этот человек был обманут во всех своих ожиданиях и впал в отчаяние, когда местные власти отказались помочь ему. Эта история наполняет вас состраданием к бедняге.;x
EVTDSC_RIP_21400_B;[From.GetFirstName] и вы идете бок о бок через столицу, в то время как она терпеливо объясняет принципы реинкарнации и бессмертия. "[Root.GetFirstName], мой друг. Помни, что карма создаётся не только когда ты действуешь. Всё, что ты думаешь, говоришь, чему служишь причиной - тоже карма. В то время как добрые дела дают сладкие плоды, пунья, недоброжелательность приносит испорченные плоды, паап."\n\nВаша прогулка приводит вас к захудалому переулку, где человек в рваной одежде спит в дверях. По мере приближения к нему, вонь от алкоголя и рвоты становится невыносимой. [From.GetFirstName] говорит вам, что этот человек был обманут во всех своих ожиданиях и впал в отчаяние, когда местные власти отказались помочь ему. Это выглядит так, будто [From.GetFirstName] хочет, чтобы вы пожалели этого человека, но вы не можете найти в себе сил для жалости.;x
EVTOPTA_RIP_21400;Мое сердце болит за этого человека! Я дам ему деньги, которые он потерял.;x
EVTOPTB_RIP_21400;Я понимаю его страдания, но он должен был выстоять.;x
EVTOPTC_RIP_21400;Этот человек сам виноват в своих несчастьях!;x
EVTOPTD_RIP_21400;Я понимаю, что ты хочешь сделать, [From.GetFirstName], но я не позволю собой манипулировать!;x
EVTOPTD_RIP_21400_TOOLTIP;Отказаться от испытания, §Y[From.GetFirstName]§! покинет Ваш двор. ;x
EVTNAME_RIP_21402;Гнилой плод;x
EVTDSC_RIP_21402_A;[From.GetFirstName] скрестила свои руки и нахмурилась. Если бы это был другой ребенок, это рассмешило бы меня, но её осуждение мне не по душе. В чем моя ошибка?\n\n"Я вижу, что ошибалась на твой счет, [Root.GetFirstName]. Нет ничего сложного в том, чтобы утешить добрым словом или совершить благое дело, но я знаю, что помыслы твои нечисты. Тебе на самом деле плевать на этого человека. Тебе необходимо признать свои недостатки, прежде чем ты сможешь двигаться дальше. Но сейчас, я боюсь, что ты не сможешь усвоить знания, которые ищешь у меня.";x
EVTDSC_RIP_21402_B;[From.GetFirstName] скрестила свои руки и нахмурилась. Если бы это был другой ребенок, это рассмешило бы Меня, но [From.GetFirstName] смотрела на меня угрожающе.\n\n"Что я только что говорила тебе о карме и испорченных плодах плохих деяний? Они обязательно вернутся и тебе придется за них расплачиваться, [Root.GetFirstName]. Я боюсь, что ты не сможешь усвоить знания, которые ищешь у меня.";x
EVTOPTA_RIP_21402;Наверное, я действительно не слишком забочусь о своих подданных.;x
EVTOPTA_RIP_21402_TOOLTIP;Вы провалили испытание, §Y[From.GetFirstName]§! покидает Ваш двор. ;x
EVTNAME_RIP_21404;Cладкий плод;x
EVTDSC_RIP_21404_A;[From.GetFirstName] удовлетворённо кивает головой, когда вы становитесь на колени перед человеком и подносите ему кошелёк с монетами. "Плоды добрых мыслей и добрых дел действительно сладки, мой друг. Акт доброты приносит мир в твоё сердце и делает тебя на один шаг ближе к просветлению. Ты воистину справедливый правитель."\n\nВо время прогулки домой, вы чувствуете облегчение. Вы внимательно слушаете вдумчивые размышления [From.GetFirstName], пытаясь запомнить каждое слово. Она может быть истинным святым, которого вы так долго ждали.;x
EVTDSC_RIP_21404_B;[From.GetFirstName] удовлетворённо кивает головой в ответ на ваши слова. "Большинство людей понимает ценность сострадания и добрых дел, но мало кто понимает истинную ценность честности. Прежде, чем мы сможем духовно расти, мы должны научиться принимать свои недостатки. Ты сделал первый шаг на этом пути."\n\nСлова [From.GetFirstName] находят отклик в вашем сердце, и по пути домой вы внимательно выслушиваете её. Вы впитали каждое слово и решили внести изменения в свою жизнь. Если вы сделали первый шаг, совершить следующий, безусловно, будет легче.;x
EVTOPTA_RIP_21404;С сегодняшнего дня я буду относиться ко всем справедливо.;x
EVTOPTA_RIP_21404_TOOLTIP;Вы успешно прошли первое испытание. ;x
EVTNAME_RIP_21410;Pазум выше тела;x
EVTDSC_RIP_21410;[From.GetFirstName] была довольна вашим прогрессом и заявила, что пришло время глубокого самоанализа. "Мой друг, ты должен рискнуть в пустыне всем, что у тебя есть, не имея при себе ничего, кроме одежды на спине. Ты должен оставаться там, пока не достигнешь глубокого просветления." Вы не вполне понимаете, что чувствуют при просветлении, но [From.GetFirstName] заверяет вас, что со временем вы все поймете.\n\nИтак, вы провели четыре дня в уединении, посте и медитации. Ваше сознание действительно становится более ясным, однако вы не знаете, приближается ли это просветление или бред на почве истощения. Хотя [From.GetFirstName] приказала вам воздерживаться от пищи, она не может видеть вас сейчас, и голод становится совсем невмоготу...;x
EVTOPTA_RIP_21410;Всё это не имеет смысла, если я умру от голода.;x
EVTOPTA_RIP_21410_TOOLTIP;Поесть что-нибудь перед медитацией, чтобы не отвлекаться.;x
EVTOPTB_RIP_21410;Я не отступлюсь, чего бы это не стоило!;x
EVTOPTB_RIP_21410_TOOLTIP;Продолжать терпеть.;x
EVTOPTC_RIP_21410;Ничего хорошего не выйдет из этого. Я сдаюсь...;x
EVTOPTC_RIP_21410_TOOLTIP;Отказаться от испытания, §Y[From.GetFirstName]§! покинет Ваш двор. ;x
EVTNAME_RIP_21412;Bеликолепный сон;x
EVTDSC_RIP_21412;Наконец он настал. Момент совершенной ясности. Все ваши чувства становятся на грани нервного срыва - каждое ощущение такое особенное и детальное, как если бы вы испытали все в первый раз. Это, как если бы ваш разум расширился, протянул руки и объял всё. Вы можете почувствовать, что просветление здесь, прямо вне вас. Прямо...\n\nВы резко просыпаетесь. Всё тело болит. Ваша спина, желудок, голова... Вы лежали там мгновение, ничего не делая и не думая, прежде чем сесть. Чувство эйфории, бывшее у вас несколько минут назад, покидает вас, словно и не было. Это был сон. На самом деле, ваше сознание мутное, как стоячий пруд. Вы не делаете никакого прогресса, и не сделали в течение нескольких дней. К сожалению, кажется, вы не способны на это...;x
EVTOPTA_RIP_21412;Лучше отказаться от духовного роста, чем помереть здесь...;x
EVTOPTA_RIP_21412_TOOLTIP;Вы провалили испытание, §Y[From.GetFirstName]§! покидает Ваш двор. ;x
EVTNAME_RIP_21414;Mомент ясности;x
EVTDSC_RIP_21414;Наконец он настал. Момент совершенной ясности. Все ваши чувства становятся на грани нервного срыва - каждое ощущение такое особенное и детальное, как если бы вы испытали все в первый раз. Это как если бы ваш разум расширился, протянул руки и объял всё. Вы можете почувствовать, что просветление здесь, прямо вне вас. Прямо...\n\nИ тогда, как будто что-то щелкает внутри вас. Ограничения, которые держали вас раньше, ушли, и теперь всё имеет смысл. Каждое наставление [From.GetFirstName] проносится через ваше сознание, каждое слово так ясно, как будто она стоит рядом с вами. Вы сидите там ещё некоторое время, просто воспринимая всё, парализованный удивлением.;x
EVTOPTA_RIP_21414;Теперь я вижу. Я должен рассказать об этом [From.GetFirstName].;x
EVTOPTA_RIP_21414_TOOLTIP;Вы успешно прошли второе испытание. ;x
EVTNAME_RIP_21416;B погоне за сном;x
EVTDSC_RIP_21416;Наконец он настал. Момент совершенной ясности. Вы можете почувствовать, что ваша цель здесь, только вне вас. Вы вскакиваете на ноги и начинаете ходить. Почти готово...\n\nЗатем - внезапный ужас и ощущение падения. Это длится лишь мгновение, после чего сменяется ощущением ноющей боли в лодыжке. Вы лежали на земле в течение нескольких минут, хватая ртом воздух, как рыба, вытащенная из воды. Когда к вам возвращается внимание, вы видите обрыв над собой. Вы упали отсюда...?\n\nВы зовёте на помощь, пока голос не сорвётся, но вы знаете, что это напрасно. Уже несколько дней вы не видели ни одной живой души, и скорее всего, уже никогда не увидите. Когда приходит ночь и сжимает вас в своих холодных объятьях, вы закрываете глаза и отдаёте себя на волю судьбе.;x
EVTOPTA_RIP_21416;По крайней мере боль исчезла;x
EVTOPTA_RIP_21416_TOOLTIP;Вы трагически погибаете, тем самым провалив испытание, [FromFrom.GetFirstName] покидает Ваш двор. ;x
EVTNAME_RIP_21420;Oковы смертности;x
EVTDSC_RIP_21420;[From.GetFirstName] была очень рада услышать о вашем просветлении в пустыне. С тех пор она готовит вас к последнему шагу вашего пути к просветлению и бессмертию. "Для того, чтобы жить вечно, мой дорогой друг, ты должен научиться отделять себя от тела", говорит она вам.\n\n[From.GetFirstName] сказала вам приготовиться. Пришло время проверить все уроки на практике. Если вы преуспеете, ваше тело станет бессмертным вместилищем, и вечная жизнь станет вашей. Если же потерпите неудачу... Вы не хотите думать об этом.\n\n[From.GetFirstName] предлагает вам рецепт из трав. "Это должно сделать узы слабее и помочь тебе вырваться из них", говорит она вам. "Но будь осторожен. Если ты полностью потеряешь связь со своим телом, кто знает, где окажется твой дух в итоге.";x
EVTOPTA_RIP_21420;Я готов. Дай мне это снадобье.;x
EVTOPTA_RIP_21420_TOOLTIP;Принять риск и выпить настой. ;x
EVTOPTB_RIP_21420;Я думаю, что смогу это сделать своими силами.;x
EVTOPTB_RIP_21420_TOOLTIP;Отказаться пить и попытаться освободить сбея. ;x
EVTOPTC_RIP_21420;Не думаю, что я готов к этому.;x
EVTOPTC_RIP_21420_TOOLTIP;Отказаться от испытания, §Y[From.GetFirstName]§! покинет Ваш двор. ;x
EVTNAME_RIP_21422;Hовое начало;x
EVTDSC_RIP_21422;Вы ложитесь на кровать и закрываете глаза. Медленно, но верно все впечатления и мысли тают, вы очищаете своё сознание. Даже звук вашего собственного дыхания исчезает в небытие, пока вы погружаетесь все глубже и глубже...\n\nИ тогда, вы поднимаетесь. Вы знаете, что это тело прежде было вами. Вы видели отражение этого лица тысячу раз, но никогда не видели его так. Оно выглядит мирным?? Вы понимаете, что оно даже не дышит. Этот факт не расстраивает вас. Отстраненно вы наблюдаете его некоторое время, прежде чем погрузиться обратно в ваше тело.\n\nПервый вдох является более ярким, чем все, что вы когда-либо чувствовали. "Как у новорожденного ребенка", - говорит довольная [From.GetFirstName]. "Добро пожаловать, мой друг, к новой жизни.";x
EVTOPTA_RIP_21422;Я обещаю максимально использовать этот второй шанс, [From.GetFirstName].;x
EVTOPTA_RIP_21422_TOOLTIP;Вы успешно прошли испытание и обрели бессмертие.\n;x
EVTNAME_RIP_21426;Hовое начало;x
EVTDSC_RIP_21426;Когда вы отнимаете колбу от вашего рта, странное чувство овладевает вами. [Eternal_life_mystic.GetFirstName] помогает вам лечь на кровать. Ваши конечности онемели и почти невозможно заставить их подчиняться. Вы пытаетесь говорить, но это как если ваш язык принадлежит кому-то другому. Ваше тело тает, растворяясь...\n\nПока ваше тело погружается вниз, вглубь субстрата, ваш дух поднимается, покидая свою смертную шелуху. Вы знаете, что это тело прежде было вашим собственным, но теперь вы чувствуете, что, как ни странно оторваны от него. Вы не больше не связаны с этим старым куском плоти. Вы оборачиваетесь, и продолжаете подниматься...\n\nВ другой части крепости рождается новая жизнь. Вы можете почувствовать свою чистоту, свою жизненную силу, яркость этой жизненной силы. Новое начало?..;x
EVTOPTA_RIP_21426;Да. Новый старт.;x
EVTOPTA_RIP_21426_TOOLTIP;Вы оставили своё тело и начали новую жизнь, как §Y[From.GetFirstName]§!. §Y[eternal_life_mystic.GetFirstName]§! покидает Ваш двор.;x
EVTNAME_RIP_21427;Kто-то внутри;x
EVTDSC_RIP_21427;Вы ложитесь на кровать и закрываете глаза. Медленно, но верно все впечатления и мысли тают, вы очищаете своё сознание. Даже звук вашего собственного дыхания исчезает в небытие, пока вы погружаетесь все глубже и глубже...\n\nИ тогда, вы поднимаетесь. Вы знаете, что это тело прежде было вами. Вы видели отражение этого лица тысячу раз, но никогда не видели его так. Оно выглядит мирным. Вы понимаете, что оно даже не дышит. Этот факт не расстраивает вас. Отстраненный, вы наблюдаете его некоторое время.\n\nИ вдруг что-то устремляется через вас. На мгновение вы чувствуете, что что-то пошло неправильно. Чувство вскоре исчезает, но тело перед вами начинает двигаться. Его глаза широко открываются, а губы издают леденящий душу визг. Вы пытаетесь погрузиться обратно в тело, но вы не можете. Что-то уже есть там!;x
EVTOPTA_RIP_21427;Я угасаю, я чувствую это...;x
EVTOPTA_RIP_21427_TOOLTIP;§Y[Root.GetTitledFirstName]§! больше не владеет собой, странный дух захватил [Root.GetHersHis] тело. §Y[eternal_life_mystic.GetFirstName]§! покидает Ваш двор. ;x
immortal;Бессмертн[GetAyaYy];x
immortal_desc;Эт[GetEtaEtot] [GetAgedPerson] постиг[GetNonE] тайну вечной жизни и никогда не подвергнется влиянию старости. Тем не менее, физические травмы по-прежнему угрожают [GetHerHim].;x
EVTDESC_RIP_12032;Ваш ребенок [From.GetSonDaughter] [From.GetFirstName] посещает ваши уроки. [From.GetSheHeCap] появляется довольно возбужденным, шагая по комнате взад и вперед в течение целой минуты, прежде чем произнести. "[Root.GetFatherMotherCap], я прошу Вас, пожалуйста, дайте мне покинуть башню. Пожалуйста, Вы должны!" Вы требуете у [From.GetHerHis] сообщить вам причину, но [From.GetSheHe] отказывается, заявив только, что это вопрос жизни и смерти.;x
EVTOPTA_RIP_12032;Как скажешь, [From.GetSonDaughter]. Я доверяю твоему суждению.;x
EVTOPTB_RIP_12032;А как насчёт твоего бедного родителя? Если ты уйдёшь, я не пущу тебя обратно!;x
EVTOPTC_RIP_12032;Я не могу позволить тебе рисковать своей жизнью, [From.GetFirstName]. Мне очень жаль, но нет.;x
EVTDESC_RIP_12034_A;Приходит гвардеец, чтобы сказать вам, что ваш ребёнок, [From.GetSonDaughter] [From.GetFirstName] вернулся. Сначала вы испытываете облегчение, но радостное чувство исчезает почти полностью, когда [From.GetFirstName] входит в вашу камеру с оборванной крестьянкой [seclusion_childs_lover.GetBoyGirl]. "[Root.GetFatherMotherCap], позвольте мне представить Вам [seclusion_childs_lover.GetFirstName]. Мы любим друг друга, и я хотел бы получить ваше благословение.";x
EVTDESC_RIP_12034_B;Вы проходите мимо комнаты [From.GetSonDaughter] [From.GetFirstName], когда вы слышите знакомый смех. [From.GetSheHe] вернулся без посещения вас? Гневно вы стучите в дверь, и смех прекращается, но дверь остается закрытой. Вы толкаете дверь и видите полуголого [From.GetFirstName], который поспешно одевается рядом с незнакомой вам [seclusion_childs_lover.GetManWoman]. Что это означает?!;x
EVTOPTA_RIP_12034;Если ты действительно хочешь этого, [From.GetFirstName], я не стану останавливать тебя...;x
EVTOPTB_RIP_12034;[Seclusion_childs_lover.GetSheHeCap] может остаться, но никто не должен знать!;x
EVTOPTC_RIP_12034;О чем вы думали?! Прогнать эту дрянь из моего замка!;x
EVTOPTD_RIP_12034;Я говорил тебе быть осторожным! Вы оба должны уйти, немедленно!;x
EVTOPTE_RIP_12034;Я ничего не видел...;x
EVTDESC_RIP_12036_A;Вы только легли в постель, когда кто-то стучит в вашу дверь. Вы взыхаете и ворчите, но встаёте, чтобы открыть. Это [seclusion_informant.GetTitledFirstName], и они принесли неприятную новость. По-видимому [From.GetFirstName] втайне женился. Вы уверены, что [From.GetSheHe] ещё придется пожалеть об этом...;x
